0,1,2,3,4,5
7024,9196,14100,6414,4609,13
4340,9528,12844,-5227,-1553,860
12516,11192,7472,-7888,2612,-4791
10572,3532,13648,-24503,1719,-7192
8376,1016,15392,-22593,-1702,-6586
9188,-5932,12984,-9767,-2690,-6934
9236,-6060,13680,-9261,-2428,-4071
8652,-5896,12012,-11554,-2282,523
8468,-8376,12236,-660,-2326,1561
8540,-9376,11760,6766,-1568,-3965
11220,-7740,10020,24870,2148,-1399
9228,1108,12280,25273,4897,-747
11568,2704,11156,18854,2930,-6879
6964,14784,10400,17411,9193,-2695
6972,13160,10928,2424,4024,1166
5316,11044,11584,-5460,1885,3302
5384,7332,13252,-10825,599,1540
7728,6268,12240,-7425,2515,-1598
6728,4424,13996,-17999,2136,-6909
7740,6164,15852,-29164,-8821,-4502
6916,-4612,12620,-14018,-4610,-4104
9392,-12684,11036,-14236,-3800,-3832
8840,-5816,9780,-6675,-855,1345
9228,-12432,8792,4536,-243,2573
8808,-9008,9880,18234,339,1171
11252,-9028,9652,22839,1748,242
7796,1284,11232,28613,6450,253
8032,9616,12752,11256,966,-2265
8708,12396,12208,10917,3830,-4152
7428,8592,13132,1743,3171,-1749
3972,10192,12132,-7555,-1117,-3064
6776,9624,13848,-4914,-1850,-196
7184,7276,11784,-11526,998,-2783
8404,864,14844,-32466,-5428,-6208
11656,-4972,12692,-15388,-1957,-3220
6084,-11668,11592,-11246,-3768,-3329
8848,-7780,10660,-3883,-278,-1608
8340,-10348,10216,954,-1202,-1002
10660,-9316,9888,13437,1927,-2441
11508,-8828,10092,24960,2348,-55
9532,156,11844,26407,3435,1837
10468,9624,10716,15175,2010,-3895
7264,14900,9944,8937,1654,-1519
5796,11480,10688,-3747,3370,115
7152,13180,10556,-7909,-2942,-806
10892,9192,12540,-11759,1017,-8898
11048,4716,12612,-28950,-2374,-4015
12724,-15752,12644,-22623,386,-5267
7984,-10568,12736,-17213,-3767,-5030
9264,-6884,10052,-8303,-1892,-1611
8656,-11216,9348,7045,-1428,-1713
10576,-9632,10220,21687,5881,-881
11224,-4344,9460,22712,2865,434
7900,4500,15336,16122,75,4695
12108,8740,13644,11392,2240,-941
7044,11220,11220,4780,-4236,1439
12064,5208,9928,-3817,-9004,77
14200,1256,9608,-754,-7825,-2827
14320,2184,6112,-10616,-7400,-7096
17700,5920,4300,-15068,-6674,-2684
17776,6548,7872,-10479,-3141,-4928
12196,4524,4220,-917,-8879,-4251
12504,4364,1848,2173,-3406,-2143
17012,7448,288,19,901,1471
21740,4076,7520,-5104,6256,4071
15796,1340,6328,14869,4353,657
11752,2036,1104,20131,11175,5329
9496,12108,5272,14796,32511,5901
9336,9112,9260,10202,13891,8981
9500,6504,10616,9854,14186,14363
7920,1708,13928,8652,12782,12575
6856,7016,16712,3941,3578,5921
9560,6448,18260,3881,-2125,6297
14712,2620,16396,3049,-4934,2445
9588,3508,10292,5462,-6534,-313
12776,4996,9616,3866,-5474,-846
14564,7384,6284,3291,-3976,-2793
14264,7324,5640,2682,2194,-2987
15980,9740,10688,5763,-21770,-1274
27152,13612,92,-32512,27788,11491
13760,8212,5884,1457,32511,-3151
10712,8992,9084,-1200,4931,-2514
9244,12352,10392,2587,-1300,-1323
10600,10280,8392,-1039,9002,3406
11108,9624,8276,1447,1989,-843
11508,8876,7088,1730,-10216,210
12484,10112,2872,2861,-4508,-3142
13572,11184,-7192,4301,17041,12769
14244,11788,5596,-5025,9994,-8057
10096,9900,6024,-1886,-5975,-4037
5860,10172,8256,3093,4951,-1745
10568,11576,7232,-1420,974,-1195
11360,11032,4796,3957,727,-1512
11432,11968,6008,3713,622,-1979
11384,11916,4744,3,1582,-1190
9364,10540,6264,-769,-1180,-375
11856,11468,5724,-3442,-769,-61
8964,10376,6100,6589,8076,-1381
7692,12296,3984,1213,-3022,-1531
9808,11996,6276,-4485,-6467,-697
11692,12232,6128,4815,-1568,-548
10704,17308,11464,2908,-1700,-604
16380,13736,24260,-1052,-1192,3797
9868,4768,4472,10725,-17886,7083
14132,8744,3492,6613,-22272,5301
13112,14376,16028,621,-8897,2181
9420,17048,9716,-491,2256,-3290
8956,5892,5452,-634,332,-2769
10228,14896,19268,-344,-5029,-2092
2792,9384,9368,-180,-728,-118
21084,-1000,5280,-4644,-13518,-31198
-164,-3112,9440,-30479,-9508,2829
7356,19456,10776,433,3876,-1840
9120,2208,11936,2240,18548,-7
6616,7664,11736,829,8746,-5558
5068,7020,16328,3658,-6541,-2702
-21916,4760,25544,2555,-10261,-3823
10132,3812,14392,-3262,1375,4323
12240,2580,12300,7527,5717,3338
7776,5748,12860,-333,2630,-5165
3320,3608,18264,6247,3114,-11787
3480,4456,12924,-3280,5016,7594
4440,1480,20868,-26238,11463,2421
1052,-1356,17828,4644,-6499,-6222
3504,-1204,19936,23,-5280,-2450
2088,-2068,15216,2741,-1085,-3685
6684,2740,13404,3251,-11552,-14271
2176,-7328,17676,-14773,22689,-12442
-4136,-8480,13636,-4519,25742,-4389
-8708,-10872,7992,-4761,28500,5243
-12260,-5316,6168,18978,9320,-7092
-7424,-6052,2332,32511,-26934,-15759
-8440,-17696,1880,23509,4313,-11481
-7000,-12272,7232,32511,12130,-24502
-8032,-12696,9004,5404,16945,-8425
-9740,-14252,7284,4790,9459,-3488
-6896,-13004,8520,-6335,-4298,-314
-6616,-14040,12148,21163,32511,-1182
-10888,-10208,5508,126,20535,-1974
-11384,-9864,2220,-1814,11773,-8354
-11912,-10840,384,-4449,7712,-7272
-11896,-13204,2236,-2429,10074,-5540
-13884,-6616,412,-1530,13958,-14177
-7504,-12784,-1592,1869,2322,-2728
-8940,-11940,-1336,8382,8278,1994
-7556,-14772,244,3650,-458,-2685
-15060,-9356,-5920,16266,-32512,13000
-6908,-7660,16988,12467,-32512,32511
8816,-4224,16040,-3870,-32219,18166
3252,-10320,14224,-4903,-8462,-16123
