0,1,2,3,4,5
5800,7400,14820,-4072,-2933,832
6480,5064,15420,-13527,-3487,-6840
9688,1008,14152,-13447,-8809,-7962
10828,-692,8556,-20385,-2571,-13634
15164,-8448,7204,-15440,-1433,-10709
11728,-7240,6328,-4944,-485,-4698
11088,-3640,8832,-732,4318,-4469
13824,-388,10388,5975,-229,-370
12148,1912,9872,7268,-1538,1572
9560,-9776,8812,-1919,-55,-3190
13436,-1152,9740,3869,-215,4
11940,-3940,8332,7345,24,1212
12124,-3080,9792,10965,177,1558
12676,-2532,9240,11040,-880,392
14904,4664,8772,8387,-1832,-2925
16148,8024,5048,6882,-3146,-612
16048,4616,4788,7166,-3394,1464
18064,-3088,-5136,3582,12379,-12612
6628,-8044,18488,-3990,-32512,-27226
2752,3664,5344,-17444,32511,7674
7264,20356,232,-32512,-17019,-144
19628,16460,18480,-28169,16571,-3130
8828,12640,17324,-5128,-8283,-5714
11480,3076,12044,7116,5891,-7566
14636,4964,15176,15005,4965,-17734
12348,4452,10932,-10374,-3175,3025
17836,-6396,4108,-30406,-32512,5163
10084,7548,5264,-3435,32511,1115
8840,4480,4900,-5834,5405,-1749
15488,29980,18840,-32486,26520,2521
9068,16092,15924,-6256,32511,-82
7336,6796,-32512,32511,-25962,32511
11344,2660,25148,-31282,-32512,22917
-6488,32511,8260,3657,-11394,-19781
-1872,3440,16396,9231,-4860,24852
6032,940,11492,-14769,5509,-7251
4916,1084,15728,-9628,-4373,-4509
5392,-212,14560,-3018,8225,-7733
5008,696,21248,-15503,-930,-2429
9748,956,22148,5946,-1792,-6791
11656,1244,15364,-3456,-20369,-11941
13792,7868,1064,-18853,-23389,-17982
9748,-3884,24628,-13455,4748,-24330
2716,-10968,5148,-1563,27262,-19806
-4796,-13156,12080,-20541,22951,-672
-6068,-5288,9432,-9633,-5548,22903
-5784,-3724,17152,15972,32511,7875
-9076,-1520,20388,-3800,9120,4944
-10500,-9676,9952,-15177,-18617,832
-15392,-896,6780,10954,-18067,7196
-3224,-764,16108,5738,516,-3745
-2580,-1332,17672,391,1419,2056
-20032,-23024,13580,7120,-6987,677
15052,11464,11460,-1058,-2589,2472
5432,436,9708,10848,6575,5677
-436,-3948,5156,31852,-29691,-32512
1708,8572,25044,7651,7199,-30254
-2892,4268,12464,-32512,8812,-32512
-5084,124,-13852,32511,2167,-5142
-424,-2260,17976,-1298,791,-789
40,-2020,17200,469,643,-953
28,-1956,17412,188,682,-1037
-104,-1940,17464,242,706,-900
-560,-2292,17368,128,723,-975
-172,-2176,16968,285,698,-909
-68,-2136,17304,211,637,-913
92,-2084,17296,242,563,-1040
-184,-2020,17508,46,843,-889
-92,-2184,17420,314,670,-954
-136,-2012,17348,209,606,-779
-108,-2168,17592,264,776,-898
48,-2252,17292,254,538,-942
68,-2016,17412,300,787,-1035
84,-2020,17260,172,698,-1057
-248,-2028,17176,122,680,-926
-156,-1916,17204,216,725,-990
-108,-1972,17376,161,612,-848
92,-2140,17228,80,557,-1036
-72,-2104,17272,178,492,-797
128,-2200,17292,130,622,-874
48,-2160,17476,187,790,-967
-264,-1984,17444,121,674,-727
-116,-2108,17400,107,638,-783
-308,-2136,17240,189,638,-905
-72,-2116,17260,76,604,-843
-56,-2184,17388,177,581,-746
-248,-2420,17368,180,858,-1007
-340,-1992,17404,182,632,-886
-32,-2144,17336,92,713,-930
-104,-2092,17096,250,763,-1115
-112,-1948,17308,182,544,-793
-108,-2124,17308,100,619,-824
-68,-1988,17272,96,593,-1152
20,-2252,17456,211,512,-867
-244,-1888,17168,123,624,-818
-280,-2040,17376,139,632,-962
-72,-1872,17116,223,766,-1031
28,-1984,17416,275,887,-1154
-28,-1972,17212,147,623,-723
4,-2004,17196,39,770,-968
-276,-2036,17444,205,829,-1028
-240,-2052,17464,329,861,-1215
52,-1924,17380,232,558,-934
-16,-2228,17396,203,599,-822
-96,-2092,17252,278,726,-1030
-132,-2160,17208,71,517,-692
-24,-1792,17304,185,534,-871
-48,-2136,17280,345,880,-1145
-180,-1928,17332,180,479,-744
-8,-2036,17280,301,795,-1052
-184,-2156,17184,166,611,-828
-112,-1844,17152,231,757,-982
-216,-2260,17512,66,786,-952
-12,-1976,17340,202,723,-1071
-4,-1932,17424,139,472,-692
-156,-2196,17408,104,674,-986
-136,-1964,17224,228,810,-1061
-120,-2152,17492,195,778,-946
108,-2212,17356,108,620,-854
100,-2172,17316,201,512,-753
-52,-1988,17440,115,598,-885
-152,-2032,17488,151,735,-944
68,-1996,17556,130,599,-770
40,-2088,17376,187,561,-810
-168,-2032,17364,191,770,-810
108,-2104,17372,138,555,-717
-72,-1888,17400,168,517,-816
-76,-1864,17248,226,652,-892
-16,-2080,17340,183,536,-795
-284,-2060,17356,123,719,-979
0,-2144,17264,103,596,-879
248,-1960,18112,360,533,-977
-244,-2112,17356,140,662,-952
-76,-2124,17368,97,632,-766
-112,-2140,17068,318,598,-952
-68,-2260,17404,26,764,-818
156,-9932,16584,6671,1040,-3560
2780,-968,24420,17220,1872,-4999
3864,5184,9632,21240,-10547,10814
7764,7312,6696,9602,1161,17060
6188,6456,9100,-16888,22828,11156
5364,4732,13552,8027,1827,6364
10032,9008,12392,13533,-7692,4007
14120,10056,10200,-4931,-885,-11394
7480,8312,12996,-5392,8824,-25
8668,8156,12568,-69,-340,-55
7852,7212,13624,-1441,1994,-3308
8292,7176,12888,-62,364,708
10476,6380,13216,-1550,3001,-721
9824,5648,13524,-71,97,605
9420,6004,13356,33,322,-2458
7880,5836,13168,-581,35,-479
9056,6140,13696,-463,1211,-541
8836,5408,13524,467,-288,-1123
9028,4608,12840,-1044,505,-1100
3168,2020,11108,-18885,25339,-12446
5988,-376,13444,-14468,-3389,-21705
4540,-5016,21624,-19835,-8385,-21389
6336,-4880,19760,-6573,4460,1228
3864,-5256,16568,-7839,236,-1831
3560,-6060,15832,483,-987,-1321
4032,-3108,16144,324,-520,542
5500,-3684,15780,-2548,505,-202
5084,-5400,14752,-1879,2343,-494
4580,-5608,15920,426,1446,-730
4352,-5096,15500,59,1485,-1314
4012,-4776,15996,-296,1175,-388
3952,-5132,16004,-114,924,-868
3728,-5252,16048,-228,891,-795
3808,-4924,15784,493,301,-571
3792,-4776,15896,561,642,-506
3128,-4712,15920,1280,293,-335
1668,-5480,12624,4096,5257,1073
17744,-32512,10936,32511,32511,-1030
5052,216,24668,32511,6671,-3020
-300,20,22356,930,-153,-629
-168,-2108,16148,-597,421,-898
-252,-972,18512,-554,557,-1019
-300,-1772,16744,1052,883,-961
-404,-1324,17848,-388,362,-943
-264,-1492,17392,435,933,-903
-304,-1356,17308,171,698,-738
-200,-1292,17208,-56,668,-1022
-92,-1292,17576,228,501,-898
-108,-1396,18104,1668,688,-968
-140,-1744,17592,-448,188,-985
-428,-1576,17260,280,689,-1016
-616,-1416,17192,29,536,-807
-396,-1608,17400,120,823,-813
-396,-1468,17348,150,725,-1029
