0,1,2,3,4,5
8600,-5488,11772,1551,729,-1841
7544,-5528,13972,-7823,4767,-2673
7280,-6156,12492,510,183,-2149
15348,-12648,3280,-23307,-32512,13865
-768,-8468,-4352,13873,-32512,17885
32,-16512,-13396,8033,4114,-2859
-12452,-12156,-1476,-1661,751,-12286
-7144,-14796,-2740,-3089,1613,-7236
-6852,-16276,-3532,-4636,912,-6247
-6840,-12752,-4572,-3410,1833,-4291
-4408,-12252,-3816,-1702,410,-694
-4796,-13460,-4724,202,5004,-10285
7912,14312,-14600,-4864,-8406,11133
-3504,-13320,-4896,-774,1624,-3868
-3196,-12952,-6032,7144,-3156,-6055
-8376,-17144,-576,27868,-7095,-15723
8172,-15568,-5280,-17923,-3559,-2821
-6892,-21228,-608,3900,19077,-6405
-2608,-16812,7856,-19484,31347,-30719
5516,-9412,9388,-10821,29445,-32512
6056,1016,12008,-17806,18531,-1066
7116,1104,11672,-9680,-9185,28640
14756,-19716,10068,905,30451,-10328
-80,-12412,15728,-2174,28359,24668
-5596,-18172,16104,22106,32511,5881
-2724,-7692,8204,32511,-8287,-15923
-1792,1096,16492,14748,-10441,-11775
-3748,684,16784,2675,-1448,-913
-1120,152,17288,235,669,-1001
-1052,236,17576,112,661,-908
-1248,0,17572,118,701,-918
-1112,256,17452,280,685,-1076
-1108,140,17468,181,720,-1063
-1056,-56,17120,83,989,-1158
-1172,308,17304,25,682,-918
